010011702,ANTIOQUIA,MEDELLIN,I.E. MERCEDITAS GOMEZ MARTINE,4,000030
010011703,ANTIOQUIA,MEDELLIN,I.E. MANUEL JOSE CAICEDO,4,000024
010011704,ANTIOQUIA,MEDELLIN,I.E. LA MILAGROSA,4,000049
010011705,ANTIOQUIA,MEDELLIN,COLEGIO EUCARISTICO,4,000011
010011706,ANTIOQUIA,MEDELLIN,SENA SD BUENOS AIRES,4,000004
010011707,ANTIOQUIA,MEDELLIN,IE ARZOBISPO TULIO BOTERO SALAZAR,4,000002
010011708,ANTIOQUIA,MEDELLIN,IE MADRE LAURA,4,000003
010011801,ANTIOQUIA,MEDELLIN,I.E. LORETO GABRIELA GOMEZ CA,4,000021
010011802,ANTIOQUIA,MEDELLIN,I.E.� FEDERICO OZANAM,4,000036
010011803,ANTIOQUIA,MEDELLIN,ESCUELA NORMAL SUPERIOR ANT.,4,000023
010011804,ANTIOQUIA,MEDELLIN,SEC. ESC. JOSE DE SAN MARTIN,4,000028
010011805,ANTIOQUIA,MEDELLIN,SEC. ESC. JUAN CANCIO RESTREPO,4,000003
010011901,ANTIOQUIA,MEDELLIN,I.E. TULIO OSPINA,4,000031
010011902,ANTIOQUIA,MEDELLIN,SEC.ESC.AGUSTIN NIETO CABALLE,4,000008
010011903,ANTIOQUIA,MEDELLIN,COLEGIO SALESIANO EL SUFRAGIO,4,000040
010011904,ANTIOQUIA,MEDELLIN,I.E. CEFA,4,000040
010011905,ANTIOQUIA,MEDELLIN,I.E. HECTOR ABAD GOMEZ,4,000026
010011906,ANTIOQUIA,MEDELLIN,IE JAVIER A LONDO�O,4,000006
010011907,ANTIOQUIA,MEDELLIN,I.T.M. (PRADO CENTRO),4,000006
010012001,ANTIOQUIA,MEDELLIN,CENTRO COMERCIAL SAN DIEGO,4,000044
010012002,ANTIOQUIA,MEDELLIN,ALCALDIA MUNICIPAL (SOTANO),4,000035
010012003,ANTIOQUIA,MEDELLIN,SENA,4,000016
010012004,ANTIOQUIA,MEDELLIN,UNIVERSIDAD CLARETIANA,4,000004
010012101,ANTIOQUIA,MEDELLIN,INSTITUTO JORGE ROBLEDO,4,000024
010012102,ANTIOQUIA,MEDELLIN,INST.EDUC. MATER DEI,4,000029
010012103,ANTIOQUIA,MEDELLIN,I.E. MARCO FIDEL SUAREZ,4,000028
